Company,Role / Position,Company Type,Funding / Stage,Tech Stack Match,Job URL / Careers Page,Application Status,Date Applied,Source / Platform,LinkedIn Company Page,HR / Recruiter Outreach Title,Suggested Outreach Channel,Follow-Up Date,Last Follow-Up,Response Received,Interview Stage,Interview Date,Notes,Salary Range (Monthly INR),Salary Range (LPA),Location,Work Mode,Priority,Cold Message Template ID
GoKwik,SDE I - Backend (Node.js/NestJS),Product-Based (E-commerce AI),Series B ($35M+),★★★★★ NestJS Node.js Kafka Redis,https://gokwik.co/careers,Not Applied,,Careers Page / Instahyre / Cutshort,https://www.linkedin.com/company/gokwik/,Technical Recruiter / Talent Acquisition,LinkedIn + Careers Page,,,,,,Uses NestJS + Node.js + Kafka — EXACT stack match. High growth e-commerce AI checkout platform.,₹35K-₹55K,5-7 LPA,Bangalore / Gurgaon,Hybrid,★★★★★ TOP,MSG-1
Yellow.ai,Software Engineer - Backend (Node.js),Product-Based (Conversational AI),Series C ($78M+),★★★★★ Node.js TypeScript Microservices,https://yellow.ai/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/yellowdotai/,Technical Recruiter,LinkedIn + Careers Page,,,,,,Heavy Node.js usage for channel dev. AI-first product company. Strong TypeScript culture.,₹40K-₹60K,5-8 LPA,Bangalore / Pune,Hybrid,★★★★★ TOP,MSG-1
CleverTap,Backend Engineer (Node.js/Go),Product-Based (MarTech / Analytics),Series D ($76M+),★★★★★ Node.js Go Distributed Systems,https://clevertap.com/careers/,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/clevertap/,Talent Acquisition Specialist,LinkedIn + Careers Page,,,,,,Product analytics platform. Uses Go + Node.js for high-scale event processing. 2026 grad hiring active.,₹35K-₹55K,5-7 LPA,Mumbai / Pune,Hybrid,★★★★★ TOP,MSG-1
Chargebee,Software Engineer (Backend / Integrations),Product-Based (SaaS Billing),Series G ($400M+),★★★★☆ TypeScript Node.js APIs,https://www.chargebee.com/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/chargebee/,Technical Recruiter / People Team,LinkedIn + Careers Page,,,,,,Revenue management SaaS. Strong TypeScript focus. AI-native product roles opening up.,₹40K-₹60K,5-8 LPA,Chennai / Remote,Hybrid / Remote,★★★★★ TOP,MSG-2
Freshworks,Software Engineer (Full Stack / Backend),Product-Based (SaaS / CRM),Public (NYSE: FRSH),★★★★☆ Node.js TypeScript React,https://www.freshworks.com/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/freshworks/,Campus / Early Career Recruiter,LinkedIn + Careers Page,,,,,,Public SaaS company. Chennai-based. Strong engineering culture. Multiple product lines — CRM relevant to your ProductCRM experience.,₹35K-₹55K,5-7 LPA,Chennai / Bangalore,Hybrid,★★★★★ TOP,MSG-2
Hasura,Forward Deployed Engineer / Backend (Go),Product-Based (Developer Tools),Series C ($100M+),★★★★★ Go Distributed Systems PostgreSQL,https://hasura.io/careers/,Not Applied,,Careers Page / Wellfound,https://www.linkedin.com/company/hasaborea/,Engineering Recruiter,LinkedIn + Careers Page,,,,,,Uses Go + PostgreSQL heavily. Open-source GraphQL engine. Your Go microservices experience is a direct match.,₹45K-₹70K,6-9 LPA,Bangalore / Remote,Remote-first,★★★★★ TOP,MSG-3
Postman,Software Engineer (Platform / Backend),Product-Based (Developer Tools),Series D ($5.6B valuation),★★★★☆ Node.js TypeScript APIs,https://www.postman.com/company/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/postman-platform/,University / Early Career Recruiter,LinkedIn + Careers Page,,,,,,API platform company. Strong Node.js culture. Your extensive API/backend experience is highly relevant.,₹50K-₹75K,7-10 LPA,Bangalore / Hyderabad,Hybrid,★★★★☆ HIGH,MSG-2
Razorpay,Software Engineer (Payments Backend),Product-Based (Fintech),Series F ($7.5B valuation),★★★★☆ Go Microservices Kafka Redis,https://razorpay.com/jobs/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/razorpay/,Technical Recruiter,LinkedIn + Careers Page,,,,,,You already have Razorpay integration experience (TaxiBy). Mention Cashfree Payouts wallet work. DSA-heavy interviews.,₹50K-₹75K,7-10 LPA,Bangalore,Hybrid,★★★★☆ HIGH,MSG-3
Juspay,Backend Engineer (Fintech Systems),Product-Based (Payments Infrastructure),Series C,★★★★☆ Distributed Systems Backend,https://juspay.io/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/juspay/,Talent Acquisition,LinkedIn + Careers Page,,,,,,Payment orchestration platform. Your payment gateway integration experience is directly relevant.,₹40K-₹60K,5-8 LPA,Bangalore,Hybrid,★★★★☆ HIGH,MSG-3
Simpl,Software Engineer I (Backend - Go),Product-Based (BNPL Fintech),Series B,★★★★★ Go Microservices Backend,https://getsimpl.com/careers,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/getsimpl/,Technical Recruiter,LinkedIn + Careers Page,,,,,,BNPL fintech. Uses Go for backend. Your Go microservices + wallet ledger experience directly applies.,₹35K-₹50K,5-7 LPA,Bangalore,Hybrid,★★★★☆ HIGH,MSG-1
